,learning_rate,gamma,clip_range,ent_coef,n_steps,gae_lambda,randomization distribution,policy,network,tuned method,eval episodes,source-source reward,source-target reward,target-target reward
163,0.0001,0.99,0.1,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,1163.70204896,1180.0597073,852.3095143200002
164,0.0001,0.99,0.1,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,1180.0600526800001,1157.8450768,1376.0658903800002
165,0.0001,0.99,0.1,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,1091.25777296,1179.14650072,1409.5782406599997
166,0.0001,0.99,0.1,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,1495.6533727800002,1375.7452944999998,709.8896973
167,0.0001,0.99,0.1,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,1266.2711687,1411.48577394,1324.50971192
168,0.0001,0.99,0.1,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,1256.26894446,1267.10873726,825.24269002
169,0.0001,0.99,0.1,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,1380.9835383200002,1104.1977192799998,1504.8695152200003
170,0.0001,0.99,0.1,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,1343.66030168,1405.8947966,1225.81694436
171,0.0001,0.99,0.2,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,1060.18366596,1031.9353064,1253.1662197199998
172,0.0001,0.99,0.2,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,575.5091535799999,473.15122914,1258.8093323
173,0.0001,0.99,0.2,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,663.9623918000001,741.4389149800002,1173.6533129
174,0.0001,0.99,0.2,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,174.03966884000002,183.69338786,1344.7135220800003
175,0.0001,0.99,0.2,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,1069.24349274,996.13555582,1187.94686484
176,0.0001,0.99,0.2,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,850.7230007199998,741.95993652,922.54213238
177,0.0001,0.99,0.2,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,1268.846844,1388.49083576,1302.29002384
178,0.0001,0.99,0.2,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,1304.37842764,1272.5274031400002,579.38661178
179,0.0001,0.99,0.2,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,1324.9156081200001,1520.6937525199996,1332.69169322
180,0.0001,0.99,0.3,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,976.68168374,1040.91108768,1226.5246315200002
181,0.0001,0.99,0.3,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,582.25222464,643.6181514599999,473.11102006
182,0.0001,0.99,0.3,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,484.0948038199999,481.92322072,427.62067146000004
183,0.0001,0.99,0.3,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,1179.7464127199999,1221.33481004,1236.73231964
184,0.0001,0.99,0.3,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,1268.08354744,1338.5061605199996,508.23337712
185,0.0001,0.99,0.3,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,1451.56670278,1316.45105392,706.0019113799999
186,0.0001,0.99,0.3,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,793.0138360400001,1219.8519800000001,1342.18766474
187,0.0001,0.99,0.3,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,1079.4493637599999,682.41835326,1247.4873585399998
188,0.0001,0.99,0.3,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,1628.5248165799997,1603.1845453600001,1331.82314552
189,0.0001,1.0,0.1,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,557.0823620399999,563.66930646,804.51708502
190,0.0001,1.0,0.1,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,571.44506122,518.5277975199999,511.43423200000007
191,0.0001,1.0,0.1,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,1064.84061806,1084.8669879000001,1059.35158924
192,0.0001,1.0,0.1,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,1065.95179866,1061.28753,831.1102958600001
193,0.0001,1.0,0.1,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,1092.5225754399999,461.01300069999996,1004.1494701999999
194,0.0001,1.0,0.1,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,849.4828654600001,950.0462106,1100.6367563
195,0.0001,1.0,0.1,0,4096,0.95,not randomized,MlpPolicy,mlp,grid,50,1257.9328967,1198.0459532200002,1105.9879096999998
196,0.0001,1.0,0.1,0,4096,0.96,not randomized,MlpPolicy,mlp,grid,50,1069.5941167400001,841.8839352200001,1064.31906394
197,0.0001,1.0,0.1,0,4096,0.97,not randomized,MlpPolicy,mlp,grid,50,1369.1615746599998,1256.47722956,888.1507207399998
198,0.0001,1.0,0.2,0,1024,0.95,not randomized,MlpPolicy,mlp,grid,50,557.2478373,757.2997978000001,839.7876593200001
199,0.0001,1.0,0.2,0,1024,0.96,not randomized,MlpPolicy,mlp,grid,50,714.2334982199999,742.17750466,649.5479691400001
200,0.0001,1.0,0.2,0,1024,0.97,not randomized,MlpPolicy,mlp,grid,50,612.5523225400001,643.46052976,953.3730332399999
201,0.0001,1.0,0.2,0,2048,0.95,not randomized,MlpPolicy,mlp,grid,50,1146.1704205,1094.8514631799999,703.5940951
202,0.0001,1.0,0.2,0,2048,0.96,not randomized,MlpPolicy,mlp,grid,50,1284.2868603399997,1149.6343879400001,1166.56910464
203,0.0001,1.0,0.2,0,2048,0.97,not randomized,MlpPolicy,mlp,grid,50,443.19640920000006,437.6314643399999,858.3704769399999
